Cust_ID,fitness_gym,hiking_running,teamgames,outdooractivities,totalproducts,Avg_Spent,Days_Since_Last_Purchase,cluster_label
4,0,76,248,37,6,61,69,0
5,0,75,248,37,6,60,71,0
6,6,69,215,34,5,65,73,0
9,36,71,248,35,8,49,75,0
10,8,97,204,34,5,69,73,0
11,36,71,248,35,8,49,75,0
12,0,89,167,37,5,59,74,0
15,19,170,266,33,9,55,109,0
18,8,86,239,35,5,74,64,0
20,48,77,225,35,5,77,87,1
21,31,82,257,37,6,68,81,0
24,14,85,225,36,6,60,79,0
25,16,80,195,35,6,55,69,0
28,0,80,234,36,6,59,72,0
30,7,89,201,35,5,67,75,0
31,0,105,220,36,6,61,80,0
33,12,73,283,36,5,81,98,0
35,0,86,266,36,6,65,63,0
36,14,86,241,36,6,63,61,0
44,2,50,211,36,5,60,63,0
46,43,114,229,34,7,60,80,0
48,23,66,201,35,6,55,63,0
50,26,74,232,33,7,53,62,0
58,18,76,241,36,6,62,75,0
59,31,74,211,36,5,71,67,0
61,49,115,225,34,7,61,78,0
62,16,85,225,35,6,61,70,0
63,5,81,220,35,6,57,71,0
65,5,86,211,36,4,85,62,0
66,11,79,225,36,6,59,69,0
67,7,76,211,36,6,55,64,0
68,57,74,227,34,8,49,85,0
72,22,84,208,35,5,70,76,0
73,26,84,243,35,5,78,69,0
74,54,94,262,34,8,56,86,0
75,64,93,266,37,7,66,67,0
77,0,104,220,37,6,61,72,0
79,20,80,234,33,11,34,85,0
80,20,69,201,36,6,55,61,0
84,48,69,204,36,8,45,76,0
85,15,76,208,36,6,56,77,0
94,4,45,155,39,5,49,99,0
95,17,58,141,40,6,43,75,0
97,25,70,213,34,6,57,61,0
98,6,79,222,35,6,57,63,0
100,30,84,234,36,6,64,69,0
101,30,75,204,35,6,58,66,0
102,18,80,234,34,6,61,71,0
103,22,77,222,34,5,71,70,0
104,24,70,206,35,5,67,63,0
105,22,77,222,34,5,71,70,0
110,19,104,215,33,9,42,70,0
112,10,85,215,33,7,49,72,0
114,19,104,215,33,9,42,70,0
115,31,90,220,32,6,63,71,0
116,28,77,248,35,6,65,69,0
117,12,82,229,35,5,72,65,0
118,4,119,211,34,6,62,72,0
119,8,97,204,35,5,69,80,0
123,0,80,243,36,5,72,69,0
124,17,82,206,35,5,68,79,0
125,4,146,262,33,7,64,85,0
127,0,82,215,37,5,67,61,0
128,16,65,211,36,9,37,61,0
129,15,72,195,36,6,53,64,0
131,9,49,153,38,6,42,75,0
132,9,49,153,38,6,42,75,0
134,5,84,204,34,6,55,71,0
137,36,81,234,36,6,65,71,0
138,19,81,211,35,5,70,73,0
141,15,89,225,34,8,46,68,0
142,0,50,104,38,8,24,85,0
146,2,87,169,37,5,59,79,0
148,10,74,204,36,6,54,70,0
149,44,89,241,37,6,69,69,0
150,47,77,201,35,5,72,63,0
152,3,95,183,35,5,64,83,0
153,3,95,183,35,5,64,83,0
155,42,71,236,36,7,55,86,0
156,42,70,236,36,7,55,87,0
159,18,79,225,38,6,60,76,0
160,3,90,204,33,6,55,65,0
161,2,72,218,33,11,30,67,0
162,4,76,215,35,6,55,75,0
163,26,70,257,35,5,78,94,0
164,26,70,255,35,5,78,93,0
165,48,100,208,33,6,65,72,0
166,10,85,197,35,5,66,76,0
167,3,72,197,35,5,62,75,0
168,7,89,190,36,6,54,69,0
171,17,73,234,34,6,60,64,0
173,5,68,208,36,6,53,82,0
176,21,80,208,35,5,69,65,0
177,42,87,234,37,6,67,66,0
178,0,68,227,36,6,56,65,0
179,14,67,227,33,6,57,68,0
184,21,79,229,37,6,61,66,0
185,57,111,232,34,5,87,84,1
186,48,82,234,35,6,67,72,0
187,10,84,243,35,5,75,67,0
188,33,84,225,33,6,63,73,0
189,32,82,225,33,6,62,75,0
190,35,77,243,34,6,65,79,0
192,12,99,227,34,6,62,74,0
193,21,71,215,34,6,57,65,0
195,33,74,225,34,5,74,82,0
197,60,67,255,32,10,42,70,0
198,8,46,123,37,8,27,71,0
202,11,75,193,35,8,40,74,0
203,35,88,208,35,6,61,74,0
204,36,89,210,35,6,62,72,0
206,74,95,285,33,8,61,67,0
207,31,69,212,34,5,70,84,0
208,28,100,220,34,7,55,76,0
209,58,54,252,35,9,45,65,0
210,60,39,203,34,9,38,63,0
211,24,83,226,35,6,62,68,0
212,64,59,252,34,7,59,63,0
213,26,60,204,34,4,81,86,1
215,49,60,239,35,8,48,84,0
216,16,101,211,33,6,61,71,0
217,22,72,222,35,6,59,69,0
218,19,76,199,35,5,66,68,0
219,33,80,219,34,6,61,82,0
220,37,82,215,35,6,62,82,0
221,26,101,199,33,6,60,74,0
222,4,57,189,36,6,48,63,0
224,36,89,240,35,6,67,73,0
225,25,73,210,35,6,58,87,0
228,25,73,210,35,6,58,87,0
229,25,81,226,36,5,74,68,0
235,0,97,224,35,6,60,72,0
236,0,97,224,35,6,60,72,0
237,0,97,224,35,6,60,73,0
238,0,97,224,35,6,60,72,0
239,9,65,226,35,6,56,65,0
242,10,102,198,32,5,69,86,0
244,44,75,300,32,8,57,68,0
245,0,84,259,38,10,39,64,0
246,7,75,226,35,5,69,74,0
247,17,72,213,33,4,84,69,1
248,6,74,210,35,5,65,67,0
249,0,84,259,38,10,39,64,0
251,0,74,234,36,7,50,74,0
252,48,90,266,33,5,88,63,0
254,0,74,234,36,7,50,74,0
256,37,75,252,34,6,67,63,0
257,0,75,225,36,7,48,70,0
261,4,87,198,35,6,54,70,0
263,23,77,213,34,7,50,81,0
264,49,64,297,32,9,50,63,0
265,52,71,225,33,7,55,64,0
267,46,78,236,35,9,44,73,0
269,51,104,290,34,10,48,62,0
270,6,87,218,35,7,50,85,0
275,6,87,218,35,7,50,85,0
276,4,77,269,39,9,44,65,0
279,32,87,278,35,8,54,68,0
280,44,71,266,33,8,52,64,0
283,32,87,278,35,8,54,68,0
284,7,102,302,35,7,64,90,0
285,7,102,302,35,7,64,90,0
288,9,91,243,35,9,42,78,0
289,53,105,322,33,10,52,91,0
290,9,91,243,35,9,42,78,0
294,52,94,331,32,8,64,75,0
296,37,86,255,33,5,83,84,1
297,6,83,265,38,7,56,66,0
298,2,94,283,38,8,53,63,0
299,6,80,263,38,7,56,66,0
301,48,68,236,34,6,65,65,0
303,12,186,206,35,5,88,63,0
304,60,112,236,33,5,89,70,1
305,48,63,294,33,6,73,64,0
309,38,62,225,36,5,73,67,0
310,48,63,294,33,6,73,64,0
313,30,76,243,34,5,77,88,1
314,29,87,217,35,7,53,84,0
315,29,96,211,36,6,62,78,0
317,12,82,268,34,6,66,88,0
318,39,83,273,35,7,62,79,0
319,12,82,268,34,6,66,88,0
320,39,83,273,35,7,62,79,0
322,5,79,237,34,6,60,64,0
326,66,121,248,32,7,67,64,0
327,50,107,252,34,8,56,63,0
328,62,82,304,33,7,69,64,0
332,28,66,236,34,5,73,79,0
