Cust_ID,Email_Clicks,SM_Comments,App_Clicks,SM_Likes,SM_Shares,SM_Clicks,fitness_gym,hiking_running,teamgames,outdooractivities,totalproducts,Avg_Spent,Days_Since_Last_Purchase,cluster_id,education_level,dependents,city,age,sex
4,72,1,7,7,1,73,0,76,248,37,6,61,69,20,Master,True,other,22,male
5,15,20,1,35,15,16,0,75,248,37,6,60,71,10,High School,False,Birmingham,30,female
6,9,7,3,73,19,10,6,69,215,34,5,65,73,10,PhD,True,other,19,female
9,67,0,2,0,1,101,36,71,248,35,8,49,75,20,High School,False,other,21,male
10,38,0,1,9,0,56,8,97,204,34,5,69,73,20,less than high school,False,other,22,male
11,66,1,4,7,1,93,36,71,248,35,8,49,75,20,High School,True,Birmingham,24,male
12,12,7,3,31,14,8,0,89,167,37,5,59,74,10,PhD,False,other,19,female
15,60,2,5,1,2,57,19,170,266,33,9,55,109,20,less than high school,False,London,66,female
18,5,12,1,38,26,12,8,86,239,35,5,74,64,10,High School,True,other,28,female
20,66,2,5,1,1,65,48,77,225,35,5,77,87,21,Bachelor,False,Birmingham,27,male
21,13,17,3,29,24,6,31,82,257,37,6,68,81,10,Bachelor,False,other,36,female
24,15,14,1,16,7,15,14,85,225,36,6,60,79,10,High School,False,Birmingham,23,male
25,23,0,78,5,1,2,16,80,195,35,6,55,69,00,High School,False,other,29,female
28,8,15,0,31,17,8,0,80,234,36,6,59,72,10,less than high school,False,London,32,female
30,45,0,3,10,0,87,7,89,201,35,5,67,75,20,High School,True,London,21,female
31,73,0,0,0,0,77,0,105,220,36,6,61,80,20,PhD,False,London,70,male
33,26,2,40,5,2,15,12,73,283,36,5,81,98,00,High School,True,other,22,female
35,12,19,0,32,15,9,0,86,266,36,6,65,63,10,Master,True,Birmingham,52,female
36,7,21,1,60,25,8,14,86,241,36,6,63,61,10,High School,False,Birmingham,48,female
44,18,13,0,81,8,9,2,50,211,36,5,60,63,10,High School,False,London,18,female
46,4,24,1,76,17,15,43,114,229,34,7,60,80,10,Bachelor,False,other,21,female
48,5,11,2,67,22,5,23,66,201,35,6,55,63,10,PhD,False,Birmingham,24,female
50,2,4,124,3,1,1,26,74,232,33,7,53,62,00,Bachelor,False,other,25,male
58,7,13,1,76,22,17,18,76,241,36,6,62,75,10,Master,True,other,23,male
59,19,15,1,21,23,19,31,74,211,36,5,71,67,10,High School,False,other,23,female
61,59,2,4,2,0,66,49,115,225,34,7,61,78,20,Bachelor,False,other,29,male
62,11,24,5,43,25,17,16,85,225,35,6,61,70,10,High School,True,London,49,female
63,10,10,3,81,16,19,5,81,220,35,6,57,71,10,PhD,True,other,23,female
65,17,22,4,88,8,6,5,86,211,36,4,85,62,10,High School,True,other,43,male
66,33,0,90,1,2,0,11,79,225,36,6,59,69,00,High School,True,other,26,female
67,5,24,0,20,7,6,7,76,211,36,6,55,64,10,Master,False,other,21,female
68,5,9,0,50,11,18,57,74,227,34,8,49,85,10,Bachelor,False,Birmingham,23,female
72,33,1,0,10,1,96,22,84,208,35,5,70,76,20,High School,False,Birmingham,69,female
73,13,13,0,20,17,11,26,84,243,35,5,78,69,10,High School,True,other,18,female
74,3,21,0,35,15,2,54,94,262,34,8,56,86,10,High School,False,London,25,female
75,10,14,2,67,21,5,64,93,266,37,7,66,67,10,Master,False,Birmingham,63,male
77,0,4,49,0,2,8,0,104,220,37,6,61,72,00,High School,True,other,23,female
79,84,1,5,3,2,74,20,80,234,33,11,34,85,20,less than high school,False,Birmingham,71,male
80,29,1,60,0,1,8,20,69,201,36,6,55,61,00,less than high school,False,Birmingham,27,female
84,0,4,119,7,1,1,48,69,204,36,8,45,76,00,less than high school,False,Birmingham,57,male
85,1,2,60,0,0,1,15,76,208,36,6,56,77,00,PhD,False,London,28,male
94,19,13,4,78,15,1,4,45,155,39,5,49,99,10,High School,True,London,26,female
95,35,2,6,8,1,63,17,58,141,40,6,43,75,20,High School,False,London,71,male
97,57,2,4,9,1,97,25,70,213,34,6,57,61,20,High School,False,Birmingham,55,male
98,62,2,4,11,0,101,6,79,222,35,6,57,63,20,High School,False,Birmingham,35,male
100,18,10,1,31,22,8,30,84,234,36,6,64,69,10,High School,False,London,32,female
101,14,20,5,64,21,15,30,75,204,35,6,58,66,10,High School,False,London,38,female
102,6,15,4,46,16,0,18,80,234,34,6,61,71,10,PhD,True,Birmingham,53,female
103,4,13,2,62,13,14,22,77,222,34,5,71,70,10,less than high school,False,London,23,female
104,12,15,0,30,7,12,24,70,206,35,5,67,63,10,Bachelor,False,other,25,female
105,7,15,1,29,13,15,22,77,222,34,5,71,70,10,PhD,True,other,20,female
110,79,2,0,4,1,75,19,104,215,33,9,42,70,20,PhD,False,Birmingham,31,male
112,16,1,86,1,0,18,10,85,215,33,7,49,72,00,less than high school,False,Birmingham,55,female
114,3,7,0,78,23,7,19,104,215,33,9,42,70,10,High School,False,other,20,female
115,45,0,6,11,2,88,31,90,220,32,6,63,71,20,Bachelor,False,London,20,male
116,13,2,41,5,0,21,28,77,248,35,6,65,69,00,less than high school,True,other,21,male
117,4,16,1,34,25,18,12,82,229,35,5,72,65,10,less than high school,False,other,24,female
118,29,2,95,2,0,5,4,119,211,34,6,62,72,00,High School,False,Birmingham,22,male
