Cust_ID,education_level,dependents,city,age,sex
4,Master,True,other,22,male
5,High School,False,Birmingham,30,female
6,PhD,True,other,19,female
9,High School,False,other,21,male
10,less than high school,False,other,22,male
11,High School,True,Birmingham,24,male
12,PhD,False,other,19,female
15,less than high school,False,London,66,female
18,High School,True,other,28,female
19,Master,False,other,25,female
20,Bachelor,False,Birmingham,27,male
21,Bachelor,False,other,36,female
24,High School,False,Birmingham,23,male
25,High School,False,other,29,female
28,less than high school,False,London,32,female
30,High School,True,London,21,female
31,PhD,False,London,70,male
33,High School,True,other,22,female
35,Master,True,Birmingham,52,female
36,High School,False,Birmingham,48,female
42,Bachelor,False,other,20,male
43,High School,True,other,65,male
44,High School,False,London,18,female
45,Master,False,London,20,female
46,Bachelor,False,other,21,female
48,PhD,False,Birmingham,24,female
50,Bachelor,False,other,25,male
58,Master,True,other,23,male
59,High School,False,other,23,female
61,Bachelor,False,other,29,male
62,High School,True,London,49,female
63,PhD,True,other,23,female
65,High School,True,other,43,male
66,High School,True,other,26,female
67,Master,False,other,21,female
68,Bachelor,False,Birmingham,23,female
72,High School,False,Birmingham,69,female
73,High School,True,other,18,female
74,High School,False,London,25,female
75,Master,False,Birmingham,63,male
77,High School,True,other,23,female
79,less than high school,False,Birmingham,71,male
80,less than high school,False,Birmingham,27,female
81,Master,False,other,66,male
84,less than high school,False,Birmingham,57,male
85,PhD,False,London,28,male
86,Master,False,London,21,female
91,less than high school,False,Birmingham,20,male
92,Bachelor,False,other,59,male
94,High School,True,London,26,female
95,High School,False,London,71,male
97,High School,False,Birmingham,55,male
98,High School,False,Birmingham,35,male
100,High School,False,London,32,female
101,High School,False,London,38,female
102,PhD,True,Birmingham,53,female
103,less than high school,False,London,23,female
104,Bachelor,False,other,25,female
105,PhD,True,other,20,female
110,PhD,False,Birmingham,31,male
112,less than high school,False,Birmingham,55,female
114,High School,False,other,20,female
115,Bachelor,False,London,20,male
116,less than high school,True,other,21,male
117,less than high school,False,other,24,female
118,High School,False,Birmingham,22,male
119,High School,False,Birmingham,28,male
123,less than high school,True,other,37,female
124,less than high school,False,Birmingham,24,female
125,PhD,False,other,24,female
127,High School,False,other,20,female
128,High School,False,London,38,female
129,High School,False,other,18,female
131,High School,False,Birmingham,56,male
132,less than high school,False,other,69,male
134,Master,False,Birmingham,27,female
137,less than high school,True,Birmingham,62,male
138,Bachelor,False,other,55,female
141,Master,True,Birmingham,57,female
142,less than high school,True,Birmingham,24,male
146,High School,False,London,31,female
147,High School,False,Birmingham,35,female
148,PhD,False,other,21,male
149,Master,False,other,23,female
150,Bachelor,False,London,21,female
152,High School,False,Birmingham,73,male
153,Master,False,other,30,female
155,High School,False,Birmingham,22,female
156,Bachelor,True,Birmingham,22,male
159,Master,False,London,21,female
160,Master,True,London,29,female
161,less than high school,True,London,22,female
162,Master,False,other,29,male
163,High School,True,other,26,female
164,PhD,False,Birmingham,20,female
165,Bachelor,False,other,22,male
166,High School,False,London,37,male
167,Master,False,other,28,female
168,High School,False,other,35,male
171,Master,False,Birmingham,35,female
173,less than high school,False,Birmingham,21,female
176,High School,True,other,22,male
177,less than high school,False,Birmingham,26,female
178,Bachelor,False,London,19,female
179,High School,False,other,20,female
184,less than high school,False,Birmingham,29,female
185,less than high school,False,London,26,female
186,Master,False,Birmingham,30,male
187,less than high school,False,Birmingham,31,male
188,Master,True,other,26,male
189,Bachelor,False,Birmingham,29,female
190,Master,False,other,59,female
192,PhD,False,other,31,female
193,High School,False,London,21,male
195,Master,False,other,21,female
197,High School,False,Birmingham,55,female
198,High School,False,other,33,male
202,PhD,False,London,25,female
203,High School,True,Birmingham,18,female
204,PhD,False,London,20,male
206,Bachelor,False,other,30,female
207,Bachelor,True,other,27,male
208,Bachelor,True,other,29,male
209,High School,False,other,22,female
210,less than high school,False,other,29,male
211,Bachelor,False,Birmingham,22,male
212,High School,True,London,23,female
213,High School,True,other,23,male
215,Bachelor,False,other,28,female
216,PhD,False,other,18,female
217,Master,True,other,26,male
218,High School,True,other,63,female
219,Master,False,other,26,male
220,High School,True,other,31,female
221,Master,False,Birmingham,65,female
222,PhD,False,Birmingham,21,male
224,Master,True,Birmingham,23,male
225,High School,False,London,21,female
226,Master,True,Birmingham,24,male
228,Master,False,London,40,female
229,High School,False,London,26,female
235,High School,True,other,32,female
236,High School,False,other,26,female
237,High School,True,Birmingham,49,female
238,Master,True,London,31,male
239,PhD,False,other,59,female
242,Bachelor,False,Birmingham,30,female
244,Bachelor,False,London,61,female
245,High School,False,other,45,male
246,Bachelor,False,other,21,female
247,Master,False,Birmingham,23,female
248,Master,False,other,23,female
249,High School,False,other,23,female
251,PhD,False,London,32,male
252,Bachelor,True,Birmingham,59,male
254,less than high school,True,Birmingham,52,male
256,Master,False,Birmingham,32,female
257,less than high school,False,other,22,male
261,High School,False,Birmingham,34,male
263,High School,False,Birmingham,20,male
264,High School,False,Birmingham,21,male
265,Master,False,other,22,female
267,Bachelor,False,other,30,male
269,High School,False,other,26,female
270,less than high school,False,Birmingham,46,female
275,less than high school,True,other,51,female
276,High School,True,Birmingham,48,male
279,High School,False,London,28,male
280,Bachelor,False,Birmingham,24,female
283,less than high school,True,other,32,female
284,High School,False,other,58,male
285,less than high school,False,Birmingham,63,female
288,High School,False,other,21,female
289,Bachelor,False,other,29,female
290,Bachelor,True,other,71,male
294,Bachelor,False,London,56,female
296,PhD,False,other,18,female
297,High School,False,Birmingham,35,female
298,less than high school,True,other,34,female
299,High School,False,other,57,male
301,less than high school,False,Birmingham,55,male
303,High School,False,Birmingham,26,female
304,High School,False,other,19,female
305,Master,False,London,22,female
307,Bachelor,False,other,27,female
308,Bachelor,False,other,32,female
309,High School,False,Birmingham,21,female
310,Master,False,other,20,female
313,Master,False,London,32,female
314,High School,False,Birmingham,65,female
315,Master,True,London,66,male
317,Bachelor,True,London,28,male
318,High School,True,London,64,female
319,Master,True,Birmingham,71,female
320,High School,False,other,70,female
322,High School,False,Birmingham,30,female
326,Bachelor,False,other,33,female
327,High School,False,other,25,female
328,Bachelor,False,other,26,female
332,High School,False,London,57,male
333,PhD,False,Birmingham,54,female
334,Master,False,Birmingham,33,male
335,Master,False,London,56,male
336,High School,True,other,21,female
337,High School,False,Birmingham,20,female
339,PhD,True,Birmingham,22,male
340,less than high school,True,other,36,female
343,High School,False,other,36,female
344,Bachelor,False,other,22,female
347,High School,False,London,38,male
348,High School,False,other,25,female
349,less than high school,False,other,26,female
351,High School,False,other,25,female
352,High School,False,Birmingham,59,male
353,Master,False,other,33,female
354,High School,False,other,37,female
355,PhD,False,Birmingham,21,female
357,Master,False,other,26,female
358,Bachelor,False,other,37,male
360,High School,False,Birmingham,25,female
362,Master,False,other,29,male
364,Master,False,other,71,male
365,Bachelor,False,other,72,male
366,High School,False,Birmingham,26,female
368,Bachelor,False,Birmingham,20,male
369,Bachelor,False,Birmingham,61,male
370,High School,False,other,67,male
374,High School,False,Birmingham,21,male
375,Bachelor,False,London,26,female
378,Bachelor,True,other,20,female
379,PhD,True,other,22,male
380,Master,False,other,71,male
381,Bachelor,True,other,60,female
382,High School,False,other,54,male
383,High School,False,Birmingham,24,female
