Cust_ID,fitness_gym,hiking_running,teamgames,outdooractivities,totalproducts,total_spent,Avg_Spent,Days_Since_Last_Purchase,cluster_label
4,0,76,248,37,6,361,61,67,1
5,0,75,248,37,6,360,60,69,1
6,6,69,215,34,5,324,65,71,1
9,36,71,248,35,8,390,49,73,1
10,8,97,204,34,5,343,69,71,1
11,36,71,248,35,8,390,49,73,1
12,0,89,167,37,5,293,59,72,1
15,19,170,266,33,9,488,55,107,1
18,8,86,239,35,5,368,74,62,1
19,51,341,227,32,11,651,60,73,1
20,48,77,225,35,5,385,77,85,0
21,31,82,257,37,6,407,68,79,1
24,14,85,225,36,6,360,60,77,1
25,16,80,195,35,6,326,55,67,1
28,0,80,234,36,6,350,59,70,1
30,7,89,201,35,5,332,67,73,1
31,0,105,220,36,6,361,61,78,1
33,12,73,283,36,5,404,81,96,1
35,0,86,266,36,6,388,65,61,1
36,14,86,241,36,6,377,63,59,1
42,20,332,225,34,9,611,68,64,1
43,22,69,225,34,12,350,30,65,1
44,2,50,211,36,5,299,60,61,1
45,15,54,146,41,6,256,43,64,1
46,43,114,229,34,7,420,60,78,1
48,23,66,201,35,6,325,55,61,1
50,26,74,232,33,7,365,53,60,1
58,18,76,241,36,6,371,62,73,1
59,31,74,211,36,5,352,71,65,1
61,49,115,225,34,7,423,61,76,1
62,16,85,225,35,6,361,61,68,1
63,5,81,220,35,6,341,57,69,1
65,5,86,211,36,4,338,85,60,1
66,11,79,225,36,6,351,59,67,1
67,7,76,211,36,6,330,55,62,1
68,57,74,227,34,8,392,49,83,1
72,22,84,208,35,5,349,70,74,1
73,26,84,243,35,5,388,78,67,1
74,54,94,262,34,8,444,56,84,1
75,64,93,266,37,7,460,66,65,1
77,0,104,220,37,6,361,61,70,1
79,20,80,234,33,11,367,34,83,1
80,20,69,201,36,6,326,55,59,1
81,70,464,239,33,13,806,62,78,1
84,48,69,204,36,8,357,45,74,1
85,15,76,208,36,6,335,56,75,1
86,28,110,234,31,20,403,21,76,1
91,28,110,234,31,20,403,21,76,1
92,29,110,234,31,20,404,21,75,1
94,4,45,155,39,5,243,49,97,1
95,17,58,141,40,6,256,43,73,1
97,25,70,213,34,6,342,57,59,1
98,6,79,222,35,6,342,57,61,1
100,30,84,234,36,6,384,64,67,1
101,30,75,204,35,6,344,58,64,1
102,18,80,234,34,6,366,61,69,1
103,22,77,222,34,5,355,71,68,1
104,24,70,206,35,5,335,67,61,1
105,22,77,222,34,5,355,71,68,1
110,19,104,215,33,9,371,42,68,1
112,10,85,215,33,7,343,49,70,1
114,19,104,215,33,9,371,42,68,1
115,31,90,220,32,6,373,63,69,1
116,28,77,248,35,6,388,65,67,1
117,12,82,229,35,5,358,72,63,1
118,4,119,211,34,6,368,62,70,1
119,8,97,204,35,5,344,69,78,1
123,0,80,243,36,5,359,72,67,1
124,17,82,206,35,5,340,68,77,1
125,4,146,262,33,7,445,64,83,1
127,0,82,215,37,5,334,67,59,1
128,16,65,211,36,9,328,37,59,1
129,15,72,195,36,6,318,53,62,1
131,9,49,153,38,6,249,42,73,1
132,9,49,153,38,6,249,42,73,1
134,5,84,204,34,6,327,55,69,1
137,36,81,234,36,6,387,65,69,1
138,19,81,211,35,5,346,70,71,1
141,15,89,225,34,8,363,46,66,1
142,0,50,104,38,8,192,24,83,1
146,2,87,169,37,5,295,59,77,1
147,26,236,225,32,8,519,65,66,1
148,10,74,204,36,6,324,54,68,1
149,44,89,241,37,6,411,69,67,1
150,47,77,201,35,5,360,72,61,1
152,3,95,183,35,5,316,64,81,1
153,3,95,183,35,5,316,64,81,1
155,42,71,236,36,7,385,55,84,1
156,42,70,236,36,7,384,55,85,1
159,18,79,225,38,6,360,60,74,1
160,3,90,204,33,6,330,55,63,1
161,2,72,218,33,11,325,30,65,1
162,4,76,215,35,6,330,55,73,1
163,26,70,257,35,5,388,78,92,1
164,26,70,255,35,5,386,78,91,1
165,48,100,208,33,6,389,65,70,1
166,10,85,197,35,5,327,66,74,1
167,3,72,197,35,5,307,62,73,1
168,7,89,190,36,6,322,54,67,1
171,17,73,234,34,6,358,60,62,1
173,5,68,208,36,6,317,53,80,1
176,21,80,208,35,5,344,69,63,1
177,42,87,234,37,6,400,67,64,1
178,0,68,227,36,6,331,56,63,1
179,14,67,227,33,6,341,57,66,1
184,21,79,229,37,6,366,61,64,1
185,57,111,232,34,5,434,87,82,0
186,48,82,234,35,6,399,67,70,1
187,10,84,243,35,5,372,75,65,1
188,33,84,225,33,6,375,63,71,1
189,32,82,225,33,6,372,62,73,1
190,35,77,243,34,6,389,65,77,1
192,12,99,227,34,6,372,62,72,1
193,21,71,215,34,6,341,57,63,1
195,33,74,225,34,5,366,74,80,1
197,60,67,255,32,10,414,42,68,1
198,8,46,123,37,8,214,27,69,1
202,11,75,193,35,8,314,40,72,1
203,35,88,208,35,6,366,61,72,1
204,36,89,210,35,6,370,62,70,1
206,74,95,285,33,8,487,61,65,1
207,31,69,212,34,5,346,70,82,1
208,28,100,220,34,7,382,55,74,1
209,58,54,252,35,9,399,45,63,1
210,60,39,203,34,9,336,38,61,1
211,24,83,226,35,6,368,62,66,1
212,64,59,252,34,7,409,59,61,1
213,26,60,204,34,4,324,81,84,0
215,49,60,239,35,8,383,48,82,1
216,16,101,211,33,6,361,61,69,1
217,22,72,222,35,6,351,59,67,1
218,19,76,199,35,5,329,66,66,1
219,33,80,219,34,6,366,61,80,1
220,37,82,215,35,6,369,62,80,1
221,26,101,199,33,6,359,60,72,1
222,4,57,189,36,6,286,48,61,1
224,36,89,240,35,6,400,67,71,1
225,25,73,210,35,6,343,58,85,1
226,50,337,215,32,16,634,40,83,1
228,25,73,210,35,6,343,58,85,1
229,25,81,226,36,5,368,74,66,1
235,0,97,224,35,6,356,60,70,1
236,0,97,224,35,6,356,60,70,1
237,0,97,224,35,6,356,60,71,1
238,0,97,224,35,6,356,60,70,1
239,9,65,226,35,6,335,56,63,1
242,10,102,198,32,5,342,69,84,1
244,44,75,300,32,8,451,57,66,1
245,0,84,259,38,10,381,39,62,1
246,7,75,226,35,5,343,69,72,1
247,17,72,213,33,4,335,84,67,0
248,6,74,210,35,5,325,65,65,1
249,0,84,259,38,10,381,39,62,1
251,0,74,234,36,7,344,50,72,1
252,48,90,266,33,5,437,88,61,1
254,0,74,234,36,7,344,50,72,1
256,37,75,252,34,6,398,67,61,1
257,0,75,225,36,7,336,48,68,1
261,4,87,198,35,6,324,54,68,1
263,23,77,213,34,7,347,50,79,1
264,49,64,297,32,9,442,50,61,1
265,52,71,225,33,7,381,55,62,1
267,46,78,236,35,9,395,44,71,1
269,51,104,290,34,10,479,48,60,1
270,6,87,218,35,7,346,50,83,1
275,6,87,218,35,7,346,50,83,1
276,4,77,269,39,9,389,44,63,1
279,32,87,278,35,8,432,54,66,1
280,44,71,266,33,8,414,52,62,1
283,32,87,278,35,8,432,54,66,1
284,7,102,302,35,7,446,64,88,1
285,7,102,302,35,7,446,64,88,1
288,9,91,243,35,9,378,42,76,1
289,53,105,322,33,10,513,52,89,1
290,9,91,243,35,9,378,42,76,1
294,52,94,331,32,8,509,64,73,1
296,37,86,255,33,5,411,83,82,0
297,6,83,265,38,7,392,56,64,1
298,2,94,283,38,8,417,53,61,1
299,6,80,263,38,7,387,56,64,1
301,48,68,236,34,6,386,65,63,1
303,12,186,206,35,5,439,88,61,1
304,60,112,236,33,5,441,89,68,0
305,48,63,294,33,6,438,73,62,1
307,42,213,285,33,6,573,96,62,1
308,44,214,285,33,6,576,96,61,1
309,38,62,225,36,5,361,73,65,1
310,48,63,294,33,6,438,73,62,1
313,30,76,243,34,5,383,77,86,0
314,29,87,217,35,7,368,53,82,1
315,29,96,211,36,6,372,62,76,1
317,12,82,268,34,6,396,66,86,1
318,39,83,273,35,7,430,62,77,1
319,12,82,268,34,6,396,66,86,1
320,39,83,273,35,7,430,62,77,1
322,5,79,237,34,6,355,60,62,1
326,66,121,248,32,7,467,67,62,1
327,50,107,252,34,8,443,56,61,1
328,62,82,304,33,7,481,69,62,1
332,28,66,236,34,5,364,73,77,1
333,8,105,201,33,5,347,70,72,1
